fL_a,delta_fL,fL_b,v_g,num_samples,seed,Gamma_T_EE_xi0,Gamma_T_full_xi0,Gamma_T_EE_norm_xi0,Gamma_T_EE_piece_over_2EE0,Gamma_T_PE_piece_over_2EE0,Gamma_T_EP_piece_over_2EE0,Gamma_T_PP_piece_over_2EE0,method
500.0,1e-05,500.00001,1.0,0,20260723,2.0943951023931953,4.188789566512969,0.9999998476234448,0.5,7.599088773175336e-08,7.599088317230029e-08,0.49999999960521585,exact GR tensor xi=0 angular integral
500.0,1.0211726652044657e-05,500.00001021172665,1.0,0,20260723,2.0943951023931953,4.188789566442203,0.9999998476065508,0.5,7.599088773175336e-08,7.599088307576451e-08,0.4999999995883216,exact GR tensor xi=0 angular integral
500.0,1.0427936121607916e-05,500.0000104279361,1.0,0,20260723,2.0943951023931953,4.188789566368409,0.9999998475889337,0.5,7.599088773175336e-08,7.599088297718483e-08,0.4999999995707044,exact GR tensor xi=0 angular integral
500.0,1.0648723321884253e-05,500.00001064872333,1.0,0,20260723,2.0943951023931953,4.188789566291456,0.9999998475705627,0.5,7.599088773175336e-08,7.599088287651792e-08,0.49999999955233326,exact GR tensor xi=0 angular integral
500.0,1.0874185175633494e-05,500.0000108741852,1.0,0,20260723,2.0943951023931953,4.188789566211211,0.9999998475514055,0.5,7.599088773175336e-08,7.599088277371966e-08,0.499999999533176,exact GR tensor xi=0 angular integral
500.0,1.1104420657728544e-05,500.00001110442065,1.0,0,20260723,2.0943951023931953,4.188789566127531,0.9999998475314285,0.5,7.599088773175336e-08,7.599088266874486e-08,0.4999999995131989,exact GR tensor xi=0 angular integral
500.0,1.1339530838604183e-05,500.00001133953083,1.0,0,20260723,2.0943951023931953,4.188789566040271,0.9999998475105967,0.5,7.599088773175336e-08,7.599088256154748e-08,0.49999999949236695,exact GR tensor xi=0 angular integral
500.0,1.1579618928625662e-05,500.00001157961896,1.0,0,20260723,2.0943951023931953,4.188789565949277,0.9999998474888733,0.5,7.599088773175336e-08,7.599088245208045e-08,0.4999999994706435,exact GR tensor xi=0 angular integral
500.0,1.1824790323396722e-05,500.0000118247903,1.0,0,20260723,2.0943951023931953,4.188789565854388,0.9999998474662203,0.5,7.599088773175336e-08,7.599088234029573e-08,0.4999999994479904,exact GR tensor xi=0 angular integral
500.0,1.2075152650027005e-05,500.00001207515265,1.0,0,20260723,2.0943951023931953,4.188789565755439,0.999999847442598,0.5,7.599088773175336e-08,7.59908822261442e-08,0.4999999994243679,exact GR tensor xi=0 angular integral
500.0,1.2330815814378843e-05,500.0000123308158,1.0,0,20260723,2.0943951023931953,4.188789565652256,0.9999998474179648,0.5,7.599088773175336e-08,7.599088210957579e-08,0.49999999939973455,exact GR tensor xi=0 angular integral
500.0,1.2591892049314616e-05,500.0000125918921,1.0,0,20260723,2.0943951023931953,4.188789565544656,0.9999998473922773,0.5,7.599088773175336e-08,7.59908819905393e-08,0.499999999374047,exact GR tensor xi=0 angular integral
500.0,1.28584959639655e-05,500.00001285849595,1.0,0,20260723,2.0943951023931953,4.188789565432453,0.9999998473654905,0.5,7.599088773175336e-08,7.599088186898252e-08,0.4999999993472602,exact GR tensor xi=0 angular integral
