label,la_kpc,sigma_a_kpc,lb_kpc,sigma_b_kpc,fL_a,fL_b,delta_fL,plot_x,Gamma_T_EE_norm_xi0,sigma_delta_quadrature_kpc,delta_min_1sigma_quadrature_kpc,delta_max_1sigma_quadrature_kpc,delta_fL_min_1sigma_quadrature,delta_fL_max_1sigma_quadrature,sigma_sum_kpc,delta_toward_endpoint_kpc,delta_apart_endpoint_kpc,delta_min_1sigma_box_kpc,delta_max_1sigma_box_kpc,delta_fL_min_1sigma_box,delta_fL_max_1sigma_box,delta_fL_q02p5,delta_fL_q16,delta_fL_q50,delta_fL_q84,delta_fL_q97p5,Gamma_marg_q02p5,Gamma_marg_q16,Gamma_marg_q50,Gamma_marg_q84,Gamma_marg_q97p5,prob_Gamma_gt_0p75,distance_draws,distance_model,marker,color
J2017+0603/J2317+1439,1.57,0.31,1.57,0.29,341.377008653472,341.377008653472,0.0,0.001,0.9999996738899535,0.4244997055358225,0.0,0.4244997055358225,0.0,92.30219085993554,0.6,0.6000000000000001,0.6000000000000001,0.0,0.6,0.0,130.46255107776,2.901369520663817,18.579288365814037,62.176463185887144,129.74166199441663,206.61947289691508,0.4999999558936114,0.5000007438275365,0.500004558008941,0.5000544831208702,0.5023151272321331,0.002512,250000,independent positive-truncated Gaussian,o,#0072B2
J2229+2643/J1918$-$0642,1.43,0.29,1.44,0.11,310.935746735328,313.110122586624,2.17437585129602,2.17437585129602,0.5038981701427689,0.3101612483854164,0.0,0.32016124838541643,0.0,69.61508870100299,0.39999999999999997,0.3900000000000001,0.41000000000000014,0.0,0.41,0.0,89.14940990313599,2.05636256769738,13.596785131461163,45.376808064060015,94.84258541806078,151.224977956738,0.5000002755945242,0.5000016706337709,0.500008821280481,0.5001018115589684,0.5043790934359352,0.003688,250000,independent positive-truncated Gaussian,s,#D55E00
J2124$-$3358/J1744$-$1134,0.413,0.055,0.4141,0.0093,89.80172265852478,90.04090400216737,0.23918134364258492,0.23918134364258492,0.8171039472326631,0.05578073144016668,0.0,0.056880731440166726,0.0,12.368008884755168,0.0643,0.06319999999999992,0.06540000000000001,0.0,0.06540000000000004,0.0,14.22041806747585,0.3801646481643314,2.4369207703762776,8.159365795804248,16.96188358036237,27.112318153521432,0.5000204133684664,0.5000610672571681,0.5002780831108878,0.5032688856134943,0.6589020266103486,0.019248,250000,independent positive-truncated Gaussian,^,#009E73
